2011-06-04 13:12:32 +0000,37.549225,-76.330536,219,3.6,,,,,,
2011-06-04 13:12:43 +0000,37.549084,-76.330681,186,3.0,,,,,,
2011-06-04 13:12:55 +0000,37.548916,-76.330704,112,3.7,,,,,,
2011-06-04 13:34:53 +0000,37.540588,-76.304459,126,0.7,,,,,,
2011-06-04 14:04:34 +0000,37.536983,-76.298264,122,2.1,,,,,,
2011-06-04 14:11:18 +0000,37.534897,-76.294067,121,1.5,,,,,,
2011-06-04 14:29:46 +0000,37.530914,-76.285721,091,1.0,,,,,,
2011-06-04 14:34:20 +0000,37.530888,-76.284180,100,1.7,,,,,,
2011-06-04 14:36:07 +0000,37.530735,-76.283104,108,0.5,,,,,,
2011-06-04 15:04:00 +0000,37.529449,-76.278008,082,1.6,,,,,,
2011-06-04 15:06:35 +0000,37.529617,-76.276558,099,0.6,,,,,,
2011-06-04 15:08:08 +0000,37.529579,-76.276260,087,1.5,,,,,,
2011-06-04 15:10:30 +0000,37.529621,-76.275040,090,0.6,,,,,,
2011-06-04 15:20:00 +0000,37.529613,-76.273048,123,1.3,,,,,,
2011-06-04 15:21:03 +0000,37.529411,-76.272659,120,1.6,,,,,,
2011-06-04 15:22:19 +0000,37.529140,-76.272057,111,1.8,,,,,,
2011-06-04 15:24:16 +0000,37.528782,-76.270889,102,0.7,,,,,,
2011-06-04 15:31:42 +0000,37.528477,-76.269096,105,1.2,,,,,,
2011-06-04 15:34:03 +0000,37.528286,-76.268173,115,0.8,,,,,,
2011-06-04 15:39:04 +0000,37.527790,-76.266853,053,1.0,,,,,,
2011-06-04 15:54:09 +0000,37.530262,-76.262688,066,0.7,,,,,,
2011-06-04 16:00:05 +0000,37.530727,-76.261375,144,5.4,,,,,,
2011-06-04 16:00:15 +0000,37.530525,-76.261192,312,2.3,,,,,,
2011-06-04 20:45:39 +0000,37.651051,-76.432961,193,3.1,,,,,,
2011-06-04 20:45:53 +0000,37.650856,-76.433014,150,0.0,,,,,,
2011-06-04 20:52:01 +0000,37.650818,-76.432999,,,,,,,,
